event_id,doc_id,stock_code,event_type,predicate_name,value,confidence,rationale,manual_review_result,manual_comment
E006,S002,002594,policy_support,has_policy_support,true,0.96,事件类型为 policy_support,,
E006,S002,002594,policy_support,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品,,
E006,S002,002594,policy_support,evidence_from_authoritative_source,true,0.94,来源为中国政府网,,
E006,S002,002594,policy_support,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E006,S002,002594,policy_support,event_evidence_strength,0.94,0.92,沿用事件抽取阶段的证据强度评分,,
E006,S002,002594,policy_support,event_has_short_term_price_impact,0.78,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E032,S011,002459,attention_spread,has_policy_support,false,0.88,事件不是政策利好类型,,
E032,S011,002459,attention_spread,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及光伏主营业务或核心产品,,
E032,S011,002459,attention_spread,evidence_from_authoritative_source,true,0.94,来源为证券时报,,
E032,S011,002459,attention_spread,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E032,S011,002459,attention_spread,event_evidence_strength,0.76,0.92,沿用事件抽取阶段的证据强度评分,,
E032,S011,002459,attention_spread,event_has_short_term_price_impact,0.68,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E070,S022,300274,earnings_quality_anomaly,has_policy_support,false,0.88,事件不是政策利好类型,,
E070,S022,300274,earnings_quality_anomaly,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及光伏主营业务或核心产品,,
E070,S022,300274,earnings_quality_anomaly,evidence_from_authoritative_source,true,0.94,来源为巨潮资讯网,,
E070,S022,300274,earnings_quality_anomaly,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E070,S022,300274,earnings_quality_anomaly,event_evidence_strength,0.88,0.92,沿用事件抽取阶段的证据强度评分,,
E070,S022,300274,earnings_quality_anomaly,event_has_short_term_price_impact,0.64,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E105,S033,601012,policy_support,has_policy_support,true,0.96,事件类型为 policy_support,,
E105,S033,601012,policy_support,policy_directly_related_to_business,true,0.90,政策原文证据明确涉及光伏主营业务或核心产品,,
