doc_id,source_type,title,publish_time,source_name,url
HIST-POLICY-2015-01,policy,国家能源局关于下达2015年光伏发电建设实施方案的通知,2015-03-18,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201503/t20150318_1891.htm
HIST-POLICY-2015-02,policy,国家能源局关于实行可再生能源发电项目信息化管理的通知,2015-10-16,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201510/t20151016_1971.htm
HIST-POLICY-2016-01,policy,国家能源局关于做好2016年度风电消纳工作有关要求的通知,2016-03-17,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201603/t20160317_2208.htm
HIST-POLICY-2016-02,policy,关于做好风电光伏发电全额保障性收购管理工作的通知,2016-05-31,国家发展改革委,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201605/t20160531_963079_ext.html
HIST-POLICY-2017-01,policy,关于试行可再生能源绿色电力证书核发及自愿认购交易制度的通知,2017-02-06,国家能源局,https://www.nea.gov.cn/2017-02/06/c_136035626.htm
HIST-POLICY-2017-02,policy,国家能源局关于发布2017年度风电投资监测预警结果的通知,2017-02-22,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201702/t20170222_2604.htm
HIST-POLICY-2018-01,policy,国家发展改革委财政部国家能源局关于2018年光伏发电有关事项的通知,2018-06-01,国家能源局,https://www.nea.gov.cn/2018-06/01/c_137223460.htm
HIST-POLICY-2018-02,policy,国家能源局综合司关于梳理十二五以来风电光伏发电项目信息的通知,2018-11-07,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201811/t20181107_3292.htm
HIST-POLICY-2019-01,policy,关于积极推进风电光伏发电无补贴平价上网有关工作的通知,2019-01-09,国家发展改革委,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201901/t20190109_962365.html
HIST-POLICY-2019-02,policy,国家能源局关于2019年风电光伏发电项目建设有关事项的通知,2019-05-30,国家能源局,https://zfxxgk.nea.gov.cn/auto87/201905/t20190530_3667.htm
HIST-POLICY-2020-01,policy,国家能源局关于2020年风电光伏发电项目建设有关事项的通知解读,2020-03-10,国家能源局,https://www.nea.gov.cn/2020-03/10/c_138862170.htm
HIST-POLICY-2020-02,policy,关于促进非水可再生能源发电健康发展的若干意见,2020-05-22,财政部,https://www.mof.gov.cn/gkml/caizhengwengao/202001wg/202002wg/202005/t20200522_3518760.htm
HIST-POLICY-2021-01,policy,关于加快推动新型储能发展的指导意见,2021-07-23,国家发展改革委,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202107/t20210723_1291321.html
HIST-POLICY-2021-02,policy,国家能源局关于印发新型储能项目管理规范暂行的通知,2021-09-24,国家能源局,https://zfxxgk.nea.gov.cn/2021-09/24/c_1310215100.htm
HIST-POLICY-2022-01,policy,关于促进新时代新能源高质量发展实施方案的通知,2022-05-30,国家能源局,https://zfxxgk.nea.gov.cn/2022-05/30/c_1310608539.htm
HIST-POLICY-2022-02,policy,关于光伏储能制造基地建设建议的答复,2022-07-11,国家能源局,https://zfxxgk.nea.gov.cn/2022-07/11/c_1310669845.htm
HIST-POLICY-2023-01,policy,国家能源局综合司关于开展新型储能试点示范工作的通知,2023-06-12,国家能源局,https://zfxxgk.nea.gov.cn/2023-06/12/c_1310727975.htm
HIST-POLICY-2023-02,policy,关于做好可再生能源绿色电力证书全覆盖工作的通知,2023-08-03,国家发展改革委,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202308/t20230803_1359092.html?state=123
