review_item,doc_id,source_type,title,stock_code,event_type,event_time,evidence_strength,evidence_text,manual_review_result,manual_comment
E001,S006,announcement,关于公开发行可转换公司债券2026年跟踪评级结果的公告,601012,capacity_expansion,2026-06-30,0.90,原文摘要：隆基绿能于2026-06-30在巨潮资讯网披露公告《关于公开发行可转换公司债券2026年跟踪评级结果的公告》。,drop,与产能扩张无关
E007,S017,ir_qa,投资者问答：晶澳科技回应投资者关注事项,002459,investor_question_pressure,2026-05-28,0.72,原文摘要：投资者在深交所互动易向晶澳科技提问，问题摘要为“请问董秘，安徽晶澳科技集团（统一社会信用代码：91340621MA8QAG839L）共同涉及光伏产品和,drop,没有这个问题，且很多上市公司都有很多被提问，无法判断提问压力
E013,S026,announcement,通威股份有限公司公开发行可转换公司债券2026年跟踪评级报告,600438,capacity_expansion,2026-06-30,0.90,原文摘要：通威股份于2026-06-30在巨潮资讯网披露公告《通威股份有限公司公开发行可转换公司债券2026年跟踪评级报告》。,drop,与产能扩张无关
E019,S038,announcement,天合光能股份有限公司向不特定对象发行可转换公司债券2026年跟踪评级报告,688599,capacity_expansion,2026-06-27,0.90,原文摘要：天合光能于2026-06-27在巨潮资讯网披露公告《天合光能股份有限公司向不特定对象发行可转换公司债券2026年跟踪评级报告》。,drop,与产能扩张无关
E025,S050,announcement,关于孙公司EBIL收到参股公司思摩尔国际现金分红的公告,300014,capacity_expansion,2026-06-24,0.90,原文摘要：亿纬锂能于2026-06-24在巨潮资讯网披露公告《关于孙公司EBIL收到参股公司思摩尔国际现金分红的公告》。,drop,与产能扩张无关
E031,S062,announcement,关于调整公司2026年限制性股票激励计划激励对象名单及授予数量的公告,300438,capacity_expansion,2026-06-18,0.90,原文摘要：鹏辉能源于2026-06-18在巨潮资讯网披露公告《关于调整公司2026年限制性股票激励计划激励对象名单及授予数量的公告》。,drop,与产能扩张无关
E037,S074,announcement,关于变更持续督导保荐代表人的公告,002812,capacity_expansion,2026-06-27,0.90,原文摘要：恩捷股份于2026-06-27在巨潮资讯网披露公告《关于变更持续督导保荐代表人的公告》。,drop,与产能扩张无关
E043,S086,announcement,北京市中伦（深圳）律师事务所关于明阳智慧能源集团股份公司差异化分红事项的法律意见书,601615,capacity_expansion,2026-06-30,0.90,原文摘要：明阳智能于2026-06-30在巨潮资讯网披露公告《北京市中伦（深圳）律师事务所关于明阳智慧能源集团股份公司差异化分红事项的法律意见书》。,drop,与产能扩张无关
E049,S098,announcement,中材科技股份有限公司公司债券2025年度受托管理事务报告,002080,capacity_expansion,2026-06-29,0.90,原文摘要：中材科技于2026-06-29在巨潮资讯网披露公告《中材科技股份有限公司公司债券2025年度受托管理事务报告》。,drop,与产能扩张无关
E055,S110,announcement,锦浪科技股份有限公司相关债券2026年跟踪评级报告,300763,capacity_expansion,2026-06-29,0.90,原文摘要：锦浪科技于2026-06-29在巨潮资讯网披露公告《锦浪科技股份有限公司相关债券2026年跟踪评级报告》。,drop,与产能扩张无关
