doc_id,publish_time,zero_shot_score,rule_enhanced_score,zero_shot_confidence,rule_enhanced_confidence,zero_shot_evidence_text,rule_enhanced_evidence_text,activated_rule_ids,model,request_id,rulebook_sha256,annotation_input_sha256,prompt_version
CNINFO-002594-1222201503,2025-01-02,0.3,0.0,0.4,0.4,本公司 2024 年 12 月新能源汽车动力电池及储能电池装机总量约为 23.495 GWh，2024 年累计装机总量约为 194.705 GWh。,,[],deepseek-v4-flash,095bda91-6739-4af7-8454-96094d6ebac9,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,9dd50ada0aa37c9d25b5b337f9a92aa8c4abe0317baef7eac456cb7a9b50960e,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250102,2025-01-02,-0.1,0.0,0.2,0.2,仓单增加930手,,[],deepseek-v4-flash,d122a531-558d-4f1a-b3d1-1a5f71343156,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,86481f31bf4de4b3d2f9b1ea0d17460ef48337af9904cd6b9620bdf8d24597cb,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250108,2025-01-08,-0.2,0.06254147312541472,0.3,0.11363636363636363,仓单减少1021手,仓单减少1021手,"[""LC-BULL-01""]",deepseek-v4-flash,deaf622b-3e4d-47bf-8ffd-9f3dc8a89254|c4c00f0e-3b97-4e20-8bfa-599d7d29d2b9,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,d885b816b1042741089e75160141330fac8c871232f1d57f135cb2d9685ffe07,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250110,2025-01-10,-0.2,0.0625,0.3,0.1136,仓单减少1210手,仓单减少1210手,"[""LC-BULL-01""]",deepseek-v4-flash,08b7f7db-b398-421b-8ca8-923dfb6ad3c1|2df85700-9d3d-40ce-a497-4b5605ebe02b,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,ccd6d0eae8b00e278cc0ca38df5c7ae6104d4e2a41c08ae1201de6fe033e8a28,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002176-1222320892,2025-01-14,-0.2,0.0,0.6,0.6,报告期内公司适时开展了碳酸锂期货套期保值业务，减少了碳酸锂价格 持续下跌带来的不利影响。,,[],deepseek-v4-flash,7fb80333-8b8e-4e3f-ae21-e20fc849dc13,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,cfdcd163e6370dc8adf3ec653e65c3a6f41fcf1a4f2f4ddfb706b2ea2ef349fb,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002176-1222320893,2025-01-14,-0.3,0.0,0.6,0.6,碳酸锂行情持续低迷,,[],deepseek-v4-flash,4c961958-3c6e-4953-aae9-2657f1d970f5,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,7fff8ca88800b2e55e211de199d6eebcfe95251d88edd518ee4367f2887991cf,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
LC-TEXT-0013,2025-01-14,0.3,0.0,0.5,0.5,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑,,[],deepseek-v4-flash,e3ca1ff1-da93-4e29-b282-ec1d1f8a4eb1,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,5b4a9554b3cefd33eb84125ebfffc527176ef8abf01c0131abdb18b141e55429,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250116,2025-01-16,-0.2,0.06254147312541472,0.3,0.11363636363636363,广期所碳酸锂仓单日报：仓单减少1462手,碳酸锂仓单总量为51198手，减少1462手。,"[""LC-BULL-01""]",deepseek-v4-flash,4bccd044-45d2-4910-ab64-934da4221882|133d801d-a5dd-4c70-900e-84406adfc0c1,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,b5df577dfd649ce66f6c6a1c70687b90667695c314f482ccc3325449bb6c64a7,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
LC-TEXT-0014,2025-01-16,-0.2,0.0,0.3,0.3,2024年， 一级市场 储能相关企业投融资事件超过107起，披露金额近176亿元，相较于2023年同比下降70%。,,[],deepseek-v4-flash,7a6af5d7-bac8-4874-82a2-924da6cb9141,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,3c58086081386b011766ecea5effa2766d342517389912689dd55112c7cb36cd,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
LC-TEXT-0015,2025-01-17,-0.3,0.0,0.4,0.4,2024年 碳酸锂 原材料的价格大幅下降，动力电池的价格随之持续下跌。,,[],deepseek-v4-flash,dc5bd683-878c-4d96-b1a9-3896600bd852,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,79bf97697edb9f4536973d28c5f006b5fa65034db52f63a6c282b215af4cf01a,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002756-1222365542,2025-01-18,-0.3,0.0,0.5,0.5,碳酸锂价格与去年同期相比 大幅下 降,,[],deepseek-v4-flash,778c855a-8cb6-46fb-83c5-ac9ce107ac88,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,32babb9e5cfe65a5e84ffe1e935c3a457a7589d9803723eef157796917fe10da,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
