event_id,doc_id,source_type,title,stock_code,stock_name,industry_sector,event_type,event_time,evidence_strength,has_policy_support,policy_directly_related_to_business,evidence_from_authoritative_source,social_attention_spikes,forward_return_5d,demo_return_direction,manual_case_priority
E006,S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,002594,比亚迪,整车,policy_support,2024-04-24,0.94,true,false,true,false,0.094340,positive,P1
E007,S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,600104,上汽集团,整车,policy_support,2024-04-24,0.94,true,false,true,false,-0.009662,negative,P1
E008,S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,601633,长城汽车,整车,policy_support,2024-04-24,0.94,true,false,true,false,-0.037505,negative,P1
E009,S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,601127,赛力斯,整车,policy_support,2024-04-24,0.94,true,false,true,false,0.011933,positive,P1
E010,S002,policy,商务部 财政部等7部门关于印发《汽车以旧换新补贴实施细则》的通知_国务院部门文件_中国政府网,000625,长安汽车,整车,policy_support,2024-04-24,0.94,true,false,true,false,-0.106032,negative,P1
E011,S003,policy,国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知_机械制造与重工业_中国政府网,002594,比亚迪,整车,policy_support,2024-03-07,0.94,true,false,true,false,0.131270,positive,P1
E012,S003,policy,国务院关于印发《推动大规模设备更新和消费品以旧换新行动方案》的通知_机械制造与重工业_中国政府网,600104,上汽集团,整车,policy_support,2024-03-07,0.94,true,false,true,false,-0.024022,negative,P1
E013,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,601012,隆基绿能,光伏,policy_support,2024-05-23,0.94,true,false,true,false,0.002140,positive,P1
E014,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,300274,阳光电源,光伏,policy_support,2024-05-23,0.94,true,false,true,false,-0.014900,negative,P1
E015,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,002202,金风科技,风电,policy_support,2024-05-23,0.94,true,false,true,false,0.015873,positive,P1
E016,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,601615,明阳智能,风电,policy_support,2024-05-23,0.94,true,false,true,false,-0.001034,negative,P1
E017,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,605117,德业股份,储能,policy_support,2024-05-23,0.94,true,false,true,false,-0.023003,negative,P1
E018,S004,policy,国务院关于印发《2024—2025年节能降碳行动方案》的通知_节能与资源综合利用_中国政府网,300763,锦浪科技,储能,policy_support,2024-05-23,0.94,true,false,true,false,-0.034616,negative,P1
E023,S006,announcement,关于2025年第四季度计提资产减值准备的公告,601012,隆基绿能,光伏,earnings_quality_anomaly,2026-04-29,0.88,false,false,true,false,0.014661,positive,P2
E024,S007,announcement,通威股份有限公司关于2026年第一季度计提资产减值准备及资产报废的公告,600438,通威股份,光伏,earnings_quality_anomaly,2026-04-30,0.88,false,false,true,false,-0.021877,negative,P2
E026,S009,announcement,关于2025年度计提资产减值准备的公告,002459,晶澳科技,光伏,earnings_quality_anomaly,2026-04-29,0.88,false,false,true,false,0.031835,positive,P2
E027,S010,announcement,天合光能股份有限公司关于2025年第四季度计提资产减值准备的公告,688599,天合光能,光伏,earnings_quality_anomaly,2026-04-30,0.88,false,false,true,false,0.028977,positive,P2
E028,S011,news,光伏圈，重大突发！,601012,隆基绿能,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,-0.001832,negative,P2
E029,S011,news,光伏圈，重大突发！,300274,阳光电源,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,-0.015080,negative,P2
E030,S011,news,光伏圈，重大突发！,600438,通威股份,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,0.009608,positive,P2
E031,S011,news,光伏圈，重大突发！,688599,天合光能,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,-0.067592,negative,P2
E032,S011,news,光伏圈，重大突发！,002459,晶澳科技,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,0.002976,positive,P2
E033,S011,news,光伏圈，重大突发！,002129,TCL中环,光伏,attention_spread,2024-01-20,0.76,false,false,true,false,-0.046124,negative,P2
E034,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300750,宁德时代,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.003245,positive,P2
E035,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300014,亿纬锂能,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.059018,positive,P2
E036,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,002074,国轩高科,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.050820,positive,P2
E037,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,603659,璞泰来,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.063433,positive,P2
E038,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300450,先导智能,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.094905,positive,P2
E039,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,002812,恩捷股份,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.076582,positive,P2
E040,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300207,欣旺达,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.062693,positive,P2
E041,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300073,当升科技,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.042620,positive,P2
E042,S012,news,动力电池的2024年：产能装车率仅52% 价格持续下跌,300438,鹏辉能源,锂电,attention_spread,2024-02-20,0.76,false,false,false,true,0.098466,positive,P2
E043,S013,news,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,002594,比亚迪,整车,attention_spread,2025-01-14,0.76,false,false,true,true,0.036257,positive,P2
E044,S013,news,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,600104,上汽集团,整车,attention_spread,2025-01-14,0.76,false,false,true,true,0.006583,positive,P2
E045,S013,news,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,601633,长城汽车,整车,attention_spread,2025-01-14,0.76,false,false,true,true,-0.041961,negative,P2
