event_id,predicate_name,value,confidence,rationale
E004,has_policy_support,false,0.88,未发现政策支持载体
E004,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品
E004,event_mentions_core_product,false,0.74,文本未显式提及核心产品关键词
E004,evidence_from_authoritative_source,true,0.94,来源为巨潮资讯网
E004,event_policy_binding_strength,false,0.70,未发现强约束表述
E004,source_company_announcement,true,0.94,来源类型为公司公告
E004,source_major_media,false,0.76,来源不是主流财经媒体
E004,event_scale_industry_level,false,0.72,未发现产业级表述
E004,policy_attention_followup,false,0.70,未发现政策后续关注扩散线索
E004,event_mentions_export,false,0.72,未发现出口/海外表述
E004,investor_questions_increase,false,0.82,未发现投资者提问线索
E004,event_has_quantitative_target,false,0.72,未发现可量化目标
E004,announcement_contains_uncertainty,false,0.78,未发现不确定性提示
E004,risk_or_uncertainty_disclosure,true,0.86,事件属于风险披露、问询、业绩异常或供应链扰动
E004,demand_side_policy,false,0.74,政策未明确作用于需求侧
E004,supply_side_policy,false,0.74,政策未明确作用于供给侧
E004,capacity_policy_support,false,0.74,未发现产能政策支持线索
E004,event_evidence_strength,0.92,0.92,沿用事件抽取阶段的证据强度评分
E004,event_has_short_term_price_impact,0.27,0.70,基于 Discovery 同类事件绝对行业超额收益的 Beta 后验概率
E005,has_policy_support,false,0.88,未发现政策支持载体
E005,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品
E005,event_mentions_core_product,false,0.74,文本未显式提及核心产品关键词
E005,evidence_from_authoritative_source,true,0.94,来源为巨潮资讯网
E005,event_policy_binding_strength,false,0.70,未发现强约束表述
E005,source_company_announcement,true,0.94,来源类型为公司公告
E005,source_major_media,false,0.76,来源不是主流财经媒体
E005,event_scale_industry_level,false,0.72,未发现产业级表述
E005,policy_attention_followup,false,0.70,未发现政策后续关注扩散线索
E005,event_mentions_export,false,0.72,未发现出口/海外表述
E005,investor_questions_increase,false,0.82,未发现投资者提问线索
E005,event_has_quantitative_target,false,0.72,未发现可量化目标
E005,announcement_contains_uncertainty,false,0.78,未发现不确定性提示
E005,risk_or_uncertainty_disclosure,true,0.86,事件属于风险披露、问询、业绩异常或供应链扰动
E005,demand_side_policy,false,0.74,政策未明确作用于需求侧
E005,supply_side_policy,false,0.74,政策未明确作用于供给侧
E005,capacity_policy_support,false,0.74,未发现产能政策支持线索
E005,event_evidence_strength,0.92,0.92,沿用事件抽取阶段的证据强度评分
E005,event_has_short_term_price_impact,0.27,0.70,基于 Discovery 同类事件绝对行业超额收益的 Beta 后验概率
E006,has_policy_support,false,0.88,未发现政策支持载体
E006,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及锂电主营业务或核心产品
E006,event_mentions_core_product,true,0.88,文本提及核心产品/业务关键词
E006,evidence_from_authoritative_source,true,0.94,来源为巨潮资讯网
E006,event_policy_binding_strength,false,0.70,未发现强约束表述
E006,source_company_announcement,true,0.94,来源类型为公司公告
E006,source_major_media,false,0.76,来源不是主流财经媒体
E006,event_scale_industry_level,true,0.84,文本涉及行业/产业/产业链级范围
E006,policy_attention_followup,false,0.70,未发现政策后续关注扩散线索
E006,event_mentions_export,false,0.72,未发现出口/海外表述
E006,investor_questions_increase,false,0.82,未发现投资者提问线索
E006,event_has_quantitative_target,true,0.84,文本含可量化目标或金额
E006,announcement_contains_uncertainty,true,0.84,正文包含风险或不确定性提示
E006,risk_or_uncertainty_disclosure,true,0.86,事件属于风险披露、问询、业绩异常或供应链扰动
E006,demand_side_policy,false,0.74,政策未明确作用于需求侧
