doc_id,publish_time,status,error,annotation_input_sha256,prompt_version,annotated_at
CNINFO-002738-1217358968,2023-07-22,accepted,supply_expansion:unverifiable_true_demoted;authoritative_source:true_shorthand_anchored;quantitative_evidence:true_shorthand_anchored;uncertainty_high:true_shorthand_anchored,a0e5a91d9ce8a4a61d3ea95f29368494c38a3437d5c315ebf24ce61805f8b197,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:47+08:00
CNINFO-000408-1217375668,2023-07-25,accepted,,6545894b74a305561b036c8c8c3e42baa83ab02f263597d2ac8e306d07fc245e,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:47+08:00
CNINFO-000762-1217374402,2023-07-25,accepted,,33b078134c2472833a402c68b1a56375c0c704e7b091747a296aa901e663265e,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:47+08:00
CNINFO-002460-1217404026,2023-07-28,accepted,uncertainty_high:unverifiable_quote_demoted,dc45cfd82c9a00be7001dd44bc486d1f11b63cb287d695d9a848361826ac1e68,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:48+08:00
CNINFO-002497-1217444659,2023-08-02,accepted,demand_ev_positive:unverifiable_quote_demoted;demand_storage_positive:unverifiable_quote_demoted,6a76eef18f02bbd2f5c8b3c226b81dec49712c0fbb55d5d048570ff233dc9a7d,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:47+08:00
CNINFO-002594-1217445214,2023-08-02,accepted,,181943f96cd880f5dce3762089d7d71fa4f0f7ccb639c3bb4353631b69920ef8,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:48+08:00
CNINFO-002497-1217452811,2023-08-03,accepted,supply_expansion:true_shorthand_anchored;demand_ev_positive:unverifiable_true_demoted;authoritative_source:true_shorthand_anchored;quantitative_evidence:unverifiable_true_demoted,7119c33e9d0323256632f6aeb1006c65fb15db629e0a4af9f9e0ca95cb603502,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:47+08:00
CNINFO-300390-1217501930,2023-08-09,accepted,authoritative_source:true_shorthand_anchored;uncertainty_high:true_shorthand_anchored,73e19fc36650324aba4e2ac4f43130ff531ab1b3861b85438171da3b9f435d0c,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:46+08:00
LC-TEXT-0001,2023-08-15,accepted,,c3a13b8a455405bba48a9faebc445e3032182b750e91e9abc9b1e00b1f6a8675,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:48+08:00
CNINFO-002738-1217599122,2023-08-22,accepted,authoritative_source:true_shorthand_anchored;uncertainty_high:true_shorthand_anchored,2f07a119e7df08bb5b12ab3664e16b3f94d378bf70d32a9be0601a509a015c0d,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:48+08:00
CNINFO-002738-1217599123,2023-08-22,accepted,authoritative_source:true_shorthand_anchored;uncertainty_high:true_shorthand_anchored,2ec129df1b791d926a477ad0a52e458a82536f9f03a54fb479c6151b720e0b4a,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:00+08:00
CNINFO-002466-1217718807,2023-08-31,accepted,authoritative_source:true_shorthand_anchored;uncertainty_high:true_shorthand_anchored,767a5189b8e89bd9f05b705493ee4dad6e9d13ffe4b86a3336039c88bda8a272,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:59+08:00
CNINFO-002594-1217758661,2023-09-02,accepted,demand_ev_positive:quote_replaced_by_rule_anchor,7f7361f1f89c83789c40d2f7f97981a5f5f0b356047c73b437e3ba41cd078bef,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:01+08:00
LC-TEXT-0002,2023-09-15,accepted,demand_ev_positive:unverifiable_true_demoted;authoritative_source:true_shorthand_anchored;quantitative_evidence:true_shorthand_anchored,937d60ae0c6ee620842abf2814b4a8b05a0c74c05d66d5c9379e2845319beef4,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:28:59+08:00
CNINFO-000792-1217886002,2023-09-19,accepted,uncertainty_high:quote_replaced_by_rule_anchor,c243bf2578e141a3734d480198cec450ea5fa897c965e21a529c34996df07160,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:00+08:00
CNINFO-000792-1217888488,2023-09-19,accepted,,2afd02e54cfbcdf9a20b565e83edc288ed40846e0db65bf58d3ae8240d7e44b1,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:01+08:00
CNINFO-002460-1217971863,2023-09-28,accepted,supply_expansion:unverifiable_true_demoted;authoritative_source:true_shorthand_anchored;quantitative_evidence:unverifiable_true_demoted,6c6ef219a270afef79fd2db3a1e26be843512ce18dce6f0bc2812b9d645a2ca5,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:00+08:00
CNINFO-002594-1217994677,2023-10-09,accepted,demand_ev_positive:quote_replaced_by_rule_anchor;authoritative_source:quote_replaced_by_rule_anchor;quantitative_evidence:quote_replaced_by_rule_anchor,d9384d6a42a007ceb60464d58d1ed3af40cdb48ca707588283e77552434c9c47,lithium-v3-deepseek-v4-flash-predicate-v6-conservative,2026-08-14T19:29:02+08:00
