doc_id,publish_time,direction_label,direction_score,zero_shot_score,confidence,horizon_days,activated_rules,predicate_consensus,evidence_text,inference_mode,model,request_id
LC-TEXT-0001,2023-08-15,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""投产""},{""name"":""production_resumption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""复产""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""国务院""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""3.7%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""可能""}]",2023年7月份规模以上工业增加值增长3.7%,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-7b04be079c09304c
LC-TEXT-0002,2023-09-15,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""投产""},{""name"":""production_resumption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""复产""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""国务院""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""4.5%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""可能""}]",2023年8月份规模以上工业增加值增长4.5%,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-722a5c3f31a28730
LC-TEXT-0003,2023-10-18,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""投产""},{""name"":""production_resumption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""复产""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""国务院""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""4.5%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""可能""}]",2023年9月份规模以上工业增加值增长4.5%,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-696728bab89e0cf1
LC-TEXT-0004,2023-11-15,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""投产""},{""name"":""production_resumption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""复产""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""4.6%""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""可能""}]",无,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-6e558fb1022e9dcf
LC-TEXT-0008,2024-05-15,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""事故""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""以旧换新""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""以旧换新""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""国务院""},{""name"":""quantitative_evidence"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""}]",无,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-424b28fca31a8cdf
LC-TEXT-0009,2024-08-16,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""工业和信息化部""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""480GWh""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""}]",2024年上半年全国锂离子电池行业运行情况,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-4ea3601b8643558f
LC-TEXT-0011,2024-12-24,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""工业和信息化部""},{""name"":""quantitative_evidence"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""uncertainty_high"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""}]",工业和信息化部,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-3431a956e4dd96c3
LC-TEXT-0013,2025-01-14,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""以旧换新""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""以旧换新""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""国家发展改革委""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""1280万辆""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""预计""}]",2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-b170ba869443dee1
LC-TEXT-0014,2025-01-16,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":true,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""新型储能装机规模首次超过抽水蓄能""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""新型储能招标市场规模持续增长""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""137.9GW""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""预计""}]",新型储能装机规模首次超过抽水蓄能,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-763282e558916664
LC-TEXT-0016,2025-01-23,neutral,0.0,0.0,0.8,5,[],"[{""name"":""supply_disruption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""supply_expansion"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""production_resumption"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_ev_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_storage_positive"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""demand_weak_or_price_war"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_drawdown"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""inventory_build"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_decline"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""warehouse_receipt_increase"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""policy_demand_support"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""政策支持""},{""name"":""import_supply_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""cost_support"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""delivery_pressure"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""authoritative_source"",""deterministic_value"":false,""ai_value"":false,""status"":""agreed_false"",""confidence"":0.8,""evidence_text"":""""},{""name"":""quantitative_evidence"",""deterministic_value"":true,""ai_value"":true,""status"":""agreed_true"",""confidence"":0.8,""evidence_text"":""15万台""},{""name"":""uncertainty_high"",""deterministic_value"":true,""ai_value"":false,""status"":""disputed"",""confidence"":0.8,""evidence_text"":""预计""}]",,rulebook_inactive,Qwen/Qwen2.5-0.5B-Instruct,local-2038766e1ff18ed9
